weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
lean,slow,moderate,cold,excessive,moderate hunger,cool,oily thick,dark dry,large,red,average,peaceful,promptly and decisively,light,redish,soft red,pitta
lean,slow,moderate,all,excessive,irregular appetite,cool,dry brittle,dark up red bottom,uneven,dark,average,peacefull,promptly and decisively,sound,redish,dull,pitta
difficult to lose,moderate,moderate,all,excessive,moderate hunger,oily,straight soft,red,large,red,average,peacefull,slowly but steadily,sound,dark,dull,pitta
average,moderate,moderate,cold,excessive with strong odor,always hunger,dry,dry brittle,red,perfect,red,average,focused,promptly and decisively,sound,dark,dull,pitta
lean,fast,slow,warm,excessive with strong odor,always hunger,cool,straight soft,red,uneven,red,forgets quickly,focused,promptly and decisively,sound,redish,soft red,pitta
difficult to lose,moderate,slow,all,excessive,always hunger,oily,straight soft,red,uneven,bright,average,focused,promptly and decisively,light,pale,dull,pitta
average,slow,moderate,cold,excessive,irregular appetite,dry,straight soft,dark dry,uneven,red,average,quick,slowly but steadily,deep,dark,soft red,pitta
lean,fast,moderate,warm,excessive,always hunger,oily,oily thick,dark up red bottom,perfect,red,forgets quickly,peaceful,promptly and decisively,light,dark,pale,pitta
lean,moderate,slow,warm,excessive,always hunger,oily,straight soft,dark up red bottom,perfect,red,average,focused,promptly and decisively,deep,redish,soft red,pitta
difficult to lose,moderate,slow,warm,excessive,always hunger,dry,oily thick,dark dry,uneven,dark,average,peaceful,slowly but steadily,sound,redish,dull,pitta
lean,fast,moderate,cold,excessive,always hunger,dry,dry brittle,red,uneven,dark,average,focused,quickly but inconsistently,sound,pale,soft red,pitta
average,moderate,moderate,all,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,uneven,bright,average,peacefull,quickly but inconsistently,sound,pale,pale,pitta
average,fast,fast,warm,excessive,moderate hunger,oily,dry brittle,red,large,bright,average,focused,promptly and decisively,light,pale,soft red,pitta
lean,fast,fast,all,excessive,always hunger,cool,dry brittle,dark up red bottom,uneven,red,never forgets,focused,slowly but steadily,sound,redish,pale,pitta
lean,slow,moderate,cold,excessive,moderate hunger,oily,dry brittle,red,uneven,red,never forgets,focused,quickly but inconsistently,sound,redish,soft red,pitta
difficult to lose,moderate,fast,cold,excessive with strong odor,always hunger,oily,straight soft,dark up red bottom,perfect,bright,forgets quickly,peacefull,promptly and decisively,sound,dark,pale,pitta
difficult to lose,moderate,moderate,all,excessive,irregular appetite,dry,straight soft,red,uneven,dark,average,peacefull,promptly and decisively,light,dark,dull,pitta
difficult to lose,moderate,moderate,all,excessive,always hunger,dry,oily thick,dark up red bottom,large,dark,average,focused,quickly but inconsistently,deep,pale,pale,pitta
average,fast,moderate,all,excessive,always hunger,dry,oily thick,dark dry,uneven,red,average,peaceful,slowly but steadily,sound,dark,soft red,pitta
lean,fast,moderate,all,excessive with strong odor,always hunger,dry,dry brittle,dark up red bottom,uneven,bright,average,focused,slowly but steadily,light,pale,soft red,pitta
difficult to lose,fast,moderate,warm,excessive,irregular appetite,dry,oily thick,dark up red bottom,uneven,red,never forgets,quick,promptly and decisively,sound,redish,soft red,pitta
average,fast,moderate,warm,excessive,always hunger,dry,oily thick,dark up red bottom,perfect,dark,average,peacefull,slowly but steadily,sound,dark,dull,pitta
average,slow,slow,cold,excessive,always hunger,cool,straight soft,dark up red bottom,uneven,red,forgets quickly,quick,promptly and decisively,light,dark,soft red,pitta
difficult to lose,moderate,moderate,cold,excessive with strong odor,irregular appetite,dry,straight soft,red,perfect,bright,average,focused,quickly but inconsistently,deep,redish,soft red,pitta
average,slow,moderate,warm,excessive,moderate hunger,oily,straight soft,dark up red bottom,large,dark,forgets quickly,quick,slowly but steadily,sound,redish,pale,pitta
average,fast,fast,cold,excessive,moderate hunger,oily,straight soft,red,uneven,red,average,focused,slowly but steadily,deep,redish,pale,pitta
average,slow,fast,warm,excessive,moderate hunger,dry,straight soft,dark up red bottom,uneven,red,forgets quickly,focused,quickly but inconsistently,deep,redish,dull,pitta
difficult to lose,moderate,slow,warm,mild,moderate hunger,cool,straight soft,red,large,bright,average,focused,promptly and decisively,sound,redish,dull,pitta
difficult to lose,slow,fast,cold,excessive,moderate hunger,cool,dry brittle,dark up red bottom,large,red,never forgets,focused,quickly but inconsistently,sound,pale,soft red,pitta
lean,moderate,fast,cold,mild,moderate hunger,dry,straight soft,dark up red bottom,uneven,bright,average,peacefull,quickly but inconsistently,sound,dark,soft red,pitta
difficult to lose,moderate,slow,warm,mild,moderate hunger,cool,straight soft,red,uneven,red,forgets quickly,focused,promptly and decisively,sound,pale,dull,pitta
average,fast,fast,all,mild,always hunger,oily,oily thick,red,uneven,red,never forgets,peaceful,slowly but steadily,sound,redish,dull,pitta
lean,fast,moderate,warm,excessive with strong odor,moderate hunger,oily,dry brittle,dark up red bottom,uneven,dark,average,focused,slowly but steadily,sound,dark,pale,pitta
difficult to lose,fast,moderate,cold,excessive,always hunger,dry,dry brittle,dark dry,uneven,dark,average,focused,slowly but steadily,sound,dark,dull,pitta
average,fast,fast,all,excessive with strong odor,moderate hunger,oily,dry brittle,red,uneven,red,average,peacefull,quickly but inconsistently,sound,redish,pale,pitta
lean,fast,slow,warm,excessive,always hunger,oily,straight soft,red,perfect,bright,never forgets,focused,promptly and decisively,sound,redish,pale,pitta
average,slow,moderate,all,mild,moderate hunger,oily,straight soft,dark up red bottom,large,red,forgets quickly,quick,promptly and decisively,deep,redish,pale,pitta
average,slow,fast,warm,excessive,always hunger,oily,oily thick,red,large,bright,average,focused,quickly but inconsistently,deep,dark,soft red,pitta
average,fast,slow,warm,excessive with strong odor,always hunger,oily,straight soft,dark dry,uneven,red,average,quick,quickly but inconsistently,light,redish,pale,pitta
average,fast,fast,cold,excessive with strong odor,moderate hunger,oily,oily thick,red,uneven,red,never forgets,peacefull,promptly and decisively,light,dark,soft red,pitta
average,slow,slow,warm,excessive,always hunger,oily,oily thick,dark dry,uneven,bright,never forgets,focused,promptly and decisively,deep,pale,soft red,pitta
lean,moderate,moderate,warm,excessive,moderate hunger,cool,straight soft,red,large,red,average,focused,slowly but steadily,light,dark,dull,pitta
difficult to lose,moderate,moderate,warm,excessive with strong odor,always hunger,dry,straight soft,dark up red bottom,perfect,red,never forgets,quick,promptly and decisively,light,pale,dull,pitta
difficult to lose,slow,slow,cold,excessive with strong odor,irregular appetite,oily,dry brittle,dark dry,uneven,dark,never forgets,quick,promptly and decisively,sound,redish,soft red,pitta
difficult to lose,slow,fast,cold,excessive,moderate hunger,oily,dry brittle,dark up red bottom,uneven,dark,forgets quickly,peaceful,quickly but inconsistently,sound,dark,soft red,pitta
average,fast,moderate,warm,excessive,always hunger,cool,dry brittle,dark up red bottom,large,dark,average,peaceful,quickly but inconsistently,deep,pale,soft red,pitta
difficult to lose,moderate,fast,cold,excessive,irregular appetite,cool,oily thick,dark up red bottom,uneven,red,forgets quickly,quick,quickly but inconsistently,sound,dark,pale,pitta
lean,moderate,moderate,warm,excessive,always hunger,cool,oily thick,dark up red bottom,uneven,bright,never forgets,peacefull,quickly but inconsistently,sound,dark,soft red,pitta
average,moderate,moderate,cold,excessive,irregular appetite,dry,dry brittle,dark dry,uneven,dark,average,quick,slowly but steadily,sound,pale,soft red,pitta
average,slow,moderate,warm,excessive,irregular appetite,cool,straight soft,dark dry,uneven,bright,never forgets,quick,promptly and decisively,light,pale,soft red,pitta
average,fast,slow,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,large,red,average,quick,quickly but inconsistently,light,dark,pale,pitta
average,fast,slow,cold,excessive,moderate hunger,dry,straight soft,dark up red bottom,uneven,dark,forgets quickly,focused,quickly but inconsistently,sound,pale,soft red,pitta
average,slow,moderate,cold,excessive,irregular appetite,dry,oily thick,dark dry,large,bright,average,focused,slowly but steadily,light,dark,soft red,pitta
lean,slow,fast,all,mild,always hunger,dry,straight soft,dark up red bottom,uneven,bright,average,focused,quickly but inconsistently,sound,dark,soft red,pitta
difficult to lose,moderate,moderate,warm,excessive,moderate hunger,oily,oily thick,dark dry,uneven,red,average,quick,quickly but inconsistently,deep,redish,pale,pitta
average,moderate,slow,cold,excessive with strong odor,always hunger,cool,straight soft,dark up red bottom,perfect,bright,average,quick,promptly and decisively,sound,redish,soft red,pitta
average,moderate,moderate,cold,mild,moderate hunger,cool,dry brittle,dark dry,uneven,red,average,peacefull,slowly but steadily,sound,dark,dull,pitta
lean,moderate,slow,warm,mild,always hunger,dry,straight soft,red,large,red,forgets quickly,focused,promptly and decisively,sound,pale,soft red,pitta
average,moderate,moderate,all,mild,always hunger,oily,oily thick,red,large,bright,average,focused,slowly but steadily,light,pale,dull,pitta
average,moderate,moderate,all,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,perfect,dark,average,peacefull,promptly and decisively,deep,pale,soft red,pitta
average,moderate,moderate,cold,mild,moderate hunger,oily,straight soft,dark dry,large,dark,average,quick,promptly and decisively,light,pale,pale,pitta
difficult to lose,slow,moderate,cold,mild,moderate hunger,cool,straight soft,dark dry,uneven,red,average,peacefull,promptly and decisively,deep,dark,dull,pitta
average,moderate,moderate,cold,excessive with strong odor,irregular appetite,oily,straight soft,dark up red bottom,large,dark,forgets quickly,peaceful,quickly but inconsistently,deep,redish,pale,pitta
lean,slow,moderate,all,excessive,moderate hunger,oily,straight soft,red,uneven,red,average,quick,promptly and decisively,sound,redish,pale,pitta
difficult to lose,slow,slow,cold,excessive,always hunger,cool,dry brittle,dark dry,large,dark,never forgets,peacefull,promptly and decisively,sound,redish,soft red,pitta
lean,moderate,moderate,warm,excessive,always hunger,dry,dry brittle,dark up red bottom,uneven,dark,average,focused,promptly and decisively,light,redish,dull,pitta
difficult to lose,slow,slow,cold,mild,always hunger,cool,straight soft,dark dry,uneven,red,never forgets,focused,quickly but inconsistently,sound,dark,pale,pitta
difficult to lose,moderate,fast,cold,mild,irregular appetite,cool,straight soft,dark up red bottom,uneven,red,average,peacefull,quickly but inconsistently,light,redish,soft red,pitta
average,slow,slow,all,excessive,moderate hunger,oily,dry brittle,dark up red bottom,uneven,red,never forgets,focused,promptly and decisively,deep,dark,pale,pitta
average,slow,slow,cold,excessive with strong odor,always hunger,cool,oily thick,red,large,red,average,focused,promptly and decisively,sound,dark,soft red,pitta
average,slow,fast,all,mild,always hunger,oily,straight soft,dark up red bottom,perfect,red,average,peaceful,quickly but inconsistently,deep,redish,soft red,pitta
average,fast,moderate,all,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,uneven,dark,never forgets,focused,quickly but inconsistently,sound,redish,dull,pitta
average,moderate,moderate,cold,excessive with strong odor,always hunger,cool,straight soft,dark dry,large,bright,forgets quickly,quick,quickly but inconsistently,light,pale,soft red,pitta
average,slow,moderate,all,excessive,always hunger,oily,straight soft,dark dry,uneven,bright,never forgets,focused,slowly but steadily,sound,dark,pale,pitta
average,slow,moderate,all,excessive,moderate hunger,oily,dry brittle,dark up red bottom,perfect,red,average,peacefull,promptly and decisively,light,pale,soft red,pitta
difficult to lose,moderate,fast,cold,excessive,irregular appetite,oily,straight soft,dark up red bottom,perfect,bright,average,quick,promptly and decisively,light,dark,dull,pitta
average,fast,slow,warm,excessive,irregular appetite,oily,straight soft,dark dry,large,bright,never forgets,quick,promptly and decisively,deep,redish,soft red,pitta
lean,moderate,fast,warm,excessive with strong odor,always hunger,cool,straight soft,dark up red bottom,uneven,dark,average,focused,slowly but steadily,light,dark,pale,pitta
average,moderate,moderate,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark up red bottom,large,dark,average,peacefull,promptly and decisively,sound,pale,dull,pitta
difficult to lose,slow,fast,all,mild,irregular appetite,oily,straight soft,dark up red bottom,uneven,bright,never forgets,quick,promptly and decisively,sound,redish,soft red,pitta
average,moderate,slow,all,excessive with strong odor,always hunger,dry,oily thick,dark up red bottom,uneven,red,forgets quickly,peaceful,quickly but inconsistently,light,redish,soft red,pitta
average,fast,fast,cold,mild,moderate hunger,oily,oily thick,dark up red bottom,uneven,dark,forgets quickly,focused,quickly but inconsistently,deep,pale,soft red,pitta
lean,moderate,moderate,cold,excessive with strong odor,always hunger,cool,straight soft,dark dry,uneven,red,average,focused,promptly and decisively,light,dark,dull,pitta
lean,moderate,moderate,cold,mild,always hunger,cool,straight soft,dark up red bottom,perfect,red,never forgets,focused,promptly and decisively,sound,pale,soft red,pitta
average,moderate,moderate,cold,excessive with strong odor,moderate hunger,oily,dry brittle,dark dry,uneven,red,forgets quickly,peacefull,slowly but steadily,deep,redish,soft red,pitta
difficult to lose,moderate,slow,warm,mild,always hunger,cool,straight soft,dark dry,uneven,bright,average,quick,slowly but steadily,sound,dark,soft red,pitta
difficult to lose,fast,moderate,cold,mild,irregular appetite,oily,oily thick,dark dry,perfect,red,average,quick,promptly and decisively,light,pale,soft red,pitta
lean,slow,moderate,all,excessive,always hunger,oily,straight soft,dark dry,uneven,dark,average,focused,slowly but steadily,sound,pale,pale,pitta
difficult to lose,moderate,moderate,all,excessive,moderate hunger,cool,dry brittle,red,perfect,red,average,focused,promptly and decisively,deep,redish,dull,pitta
average,slow,moderate,cold,mild,always hunger,oily,dry brittle,red,perfect,dark,never forgets,focused,promptly and decisively,light,redish,pale,pitta
average,fast,slow,cold,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,uneven,dark,never forgets,focused,promptly and decisively,light,pale,soft red,pitta
average,moderate,slow,warm,excessive,irregular appetite,dry,oily thick,red,uneven,bright,average,quick,promptly and decisively,deep,redish,pale,pitta
average,fast,slow,cold,excessive,always hunger,dry,dry brittle,dark up red bottom,large,red,average,focused,quickly but inconsistently,deep,pale,pale,pitta
difficult to lose,fast,moderate,cold,excessive with strong odor,moderate hunger,dry,straight soft,dark up red bottom,large,red,forgets quickly,focused,slowly but steadily,deep,pale,soft red,pitta
lean,slow,moderate,cold,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,large,red,average,quick,quickly but inconsistently,deep,redish,pale,pitta
average,moderate,fast,warm,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,uneven,red,average,quick,quickly but inconsistently,light,redish,pale,pitta
difficult to lose,slow,moderate,cold,excessive,moderate hunger,cool,dry brittle,dark up red bottom,uneven,dark,never forgets,focused,quickly but inconsistently,light,redish,pale,pitta
average,moderate,fast,cold,excessive,moderate hunger,oily,oily thick,dark dry,perfect,bright,forgets quickly,focused,promptly and decisively,sound,dark,soft red,pitta
average,fast,moderate,cold,excessive,irregular appetite,oily,straight soft,dark up red bottom,perfect,bright,forgets quickly,peacefull,quickly but inconsistently,deep,redish,dull,pitta
average,fast,slow,all,mild,always hunger,oily,dry brittle,dark up red bottom,uneven,bright,never forgets,peacefull,promptly and decisively,sound,dark,soft red,pitta
average,moderate,moderate,cold,excessive with strong odor,irregular appetite,oily,dry brittle,dark dry,perfect,bright,forgets quickly,quick,promptly and decisively,sound,dark,soft red,pitta
average,moderate,moderate,all,mild,irregular appetite,cool,oily thick,dark up red bottom,uneven,bright,average,focused,slowly but steadily,sound,redish,pale,pitta
difficult to lose,slow,moderate,cold,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,large,red,average,focused,quickly but inconsistently,sound,pale,pale,pitta
average,slow,moderate,warm,mild,always hunger,oily,dry brittle,dark up red bottom,uneven,red,average,peaceful,slowly but steadily,sound,redish,pale,pitta
average,fast,slow,cold,mild,irregular appetite,oily,straight soft,dark up red bottom,perfect,bright,forgets quickly,quick,slowly but steadily,sound,redish,dull,pitta
lean,slow,fast,cold,excessive with strong odor,moderate hunger,dry,straight soft,dark dry,perfect,red,average,focused,promptly and decisively,sound,dark,pale,pitta
difficult to lose,moderate,moderate,warm,mild,always hunger,cool,oily thick,dark dry,perfect,red,average,focused,promptly and decisively,sound,redish,soft red,pitta
lean,moderate,slow,warm,excessive,irregular appetite,cool,dry brittle,dark up red bottom,uneven,dark,never forgets,peaceful,promptly and decisively,light,redish,soft red,pitta
average,moderate,fast,cold,excessive,always hunger,oily,straight soft,red,uneven,bright,forgets quickly,peaceful,quickly but inconsistently,sound,dark,pale,pitta
difficult to lose,moderate,moderate,all,excessive,always hunger,dry,straight soft,dark dry,uneven,red,forgets quickly,peacefull,quickly but inconsistently,deep,redish,pale,pitta
average,moderate,fast,warm,mild,always hunger,oily,straight soft,dark up red bottom,perfect,dark,forgets quickly,peacefull,quickly but inconsistently,sound,pale,pale,pitta
average,slow,slow,cold,mild,always hunger,cool,dry brittle,dark up red bottom,uneven,dark,average,focused,promptly and decisively,light,pale,soft red,pitta
average,slow,moderate,cold,mild,moderate hunger,oily,dry brittle,dark dry,uneven,bright,never forgets,focused,quickly but inconsistently,sound,pale,dull,pitta
lean,moderate,fast,warm,excessive with strong odor,irregular appetite,cool,oily thick,dark up red bottom,uneven,red,forgets quickly,peaceful,promptly and decisively,deep,redish,soft red,pitta
difficult to lose,slow,fast,cold,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,uneven,red,average,focused,quickly but inconsistently,light,redish,pale,pitta
lean,moderate,moderate,all,mild,irregular appetite,cool,oily thick,dark up red bottom,uneven,red,forgets quickly,peaceful,promptly and decisively,sound,pale,pale,pitta
lean,moderate,moderate,cold,excessive,moderate hunger,cool,straight soft,dark up red bottom,uneven,dark,never forgets,peaceful,quickly but inconsistently,deep,dark,soft red,pitta
average,fast,fast,cold,excessive,always hunger,dry,dry brittle,dark dry,large,red,forgets quickly,peaceful,slowly but steadily,sound,redish,soft red,pitta
average,slow,moderate,cold,excessive,moderate hunger,cool,oily thick,dark dry,uneven,bright,average,focused,slowly but steadily,sound,pale,dull,pitta
lean,slow,fast,cold,excessive,moderate hunger,cool,dry brittle,dark dry,large,red,average,focused,promptly and decisively,deep,pale,soft red,pitta
average,fast,moderate,cold,mild,irregular appetite,cool,oily thick,dark dry,large,red,average,peacefull,promptly and decisively,sound,dark,soft red,pitta
average,fast,slow,warm,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,perfect,red,never forgets,peaceful,slowly but steadily,sound,redish,soft red,pitta
difficult to lose,slow,slow,warm,excessive,moderate hunger,cool,straight soft,dark up red bottom,uneven,bright,forgets quickly,quick,quickly but inconsistently,light,redish,soft red,pitta-kapha
lean,slow,fast,all,mild,always hunger,cool,dry brittle,red,uneven,bright,average,quick,promptly and decisively,deep,redish,soft red,pitta-kapha
difficult to lose,fast,fast,all,excessive,moderate hunger,cool,straight soft,dark dry,uneven,bright,average,quick,slowly but steadily,light,redish,soft red,pitta-kapha
lean,moderate,fast,cold,excessive,moderate hunger,cool,dry brittle,red,uneven,bright,forgets quickly,focused,slowly but steadily,light,pale,soft red,pitta-kapha
difficult to lose,moderate,slow,warm,excessive with strong odor,always hunger,oily,straight soft,dark dry,perfect,bright,forgets quickly,peacefull,promptly and decisively,sound,pale,soft red,pitta-kapha
difficult to lose,slow,moderate,all,excessive with strong odor,always hunger,oily,dry brittle,red,uneven,dark,average,peacefull,quickly but inconsistently,light,pale,soft red,pitta-kapha
average,fast,slow,cold,excessive,irregular appetite,cool,straight soft,dark up red bottom,uneven,bright,never forgets,peacefull,slowly but steadily,light,dark,dull,pitta-kapha
difficult to lose,fast,fast,all,excessive,moderate hunger,dry,straight soft,dark up red bottom,uneven,bright,never forgets,focused,promptly and decisively,deep,redish,pale,pitta-kapha
lean,moderate,moderate,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark dry,uneven,bright,average,peaceful,quickly but inconsistently,sound,redish,dull,pitta-kapha
average,slow,moderate,all,excessive,irregular appetite,cool,straight soft,dark up red bottom,perfect,dark,never forgets,peacefull,promptly and decisively,deep,pale,soft red,pitta-kapha
difficult to lose,moderate,slow,all,excessive,irregular appetite,dry,oily thick,red,perfect,dark,average,peacefull,promptly and decisively,sound,redish,dull,pitta-kapha
lean,moderate,moderate,all,excessive with strong odor,irregular appetite,oily,oily thick,red,uneven,bright,forgets quickly,focused,quickly but inconsistently,light,redish,pale,pitta-kapha
average,slow,moderate,all,excessive,moderate hunger,oily,straight soft,dark up red bottom,perfect,bright,never forgets,quick,quickly but inconsistently,light,pale,soft red,pitta-kapha
difficult to lose,fast,slow,cold,excessive,moderate hunger,cool,dry brittle,dark dry,uneven,bright,forgets quickly,focused,promptly and decisively,deep,dark,soft red,pitta-kapha
average,slow,moderate,cold,excessive,moderate hunger,oily,dry brittle,dark up red bottom,perfect,bright,never forgets,peaceful,quickly but inconsistently,light,redish,pale,pitta-kapha
difficult to lose,moderate,moderate,all,mild,moderate hunger,cool,oily thick,dark up red bottom,uneven,dark,average,peacefull,promptly and decisively,light,pale,soft red,pitta-kapha
average,fast,slow,all,excessive,moderate hunger,oily,oily thick,red,perfect,bright,forgets quickly,quick,promptly and decisively,sound,redish,soft red,pitta-kapha
average,fast,slow,warm,excessive with strong odor,always hunger,oily,oily thick,dark dry,uneven,red,never forgets,quick,slowly but steadily,deep,dark,soft red,pitta-kapha
difficult to lose,slow,slow,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,uneven,red,average,quick,slowly but steadily,sound,redish,soft red,pitta-kapha
average,moderate,fast,all,excessive,always hunger,cool,oily thick,red,uneven,dark,never forgets,peacefull,quickly but inconsistently,light,redish,pale,pitta-kapha
difficult to lose,fast,slow,all,excessive with strong odor,irregular appetite,cool,straight soft,dark up red bottom,perfect,red,average,focused,promptly and decisively,light,dark,dull,pitta-kapha
lean,fast,moderate,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark up red bottom,uneven,dark,never forgets,quick,promptly and decisively,sound,redish,pale,pitta-kapha
average,fast,slow,cold,excessive,irregular appetite,cool,straight soft,dark dry,large,bright,forgets quickly,focused,slowly but steadily,deep,pale,soft red,pitta-kapha
difficult to lose,slow,slow,cold,excessive,moderate hunger,cool,straight soft,dark up red bottom,large,red,average,focused,slowly but steadily,light,pale,dull,pitta-kapha
difficult to lose,moderate,slow,all,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,large,red,forgets quickly,quick,slowly but steadily,sound,redish,pale,pitta-kapha
average,moderate,moderate,cold,mild,moderate hunger,dry,oily thick,red,large,bright,forgets quickly,focused,slowly but steadily,sound,dark,pale,pitta-kapha
difficult to lose,fast,moderate,cold,excessive,irregular appetite,oily,oily thick,red,perfect,red,average,peacefull,slowly but steadily,light,redish,pale,pitta-kapha
difficult to lose,fast,moderate,warm,mild,irregular appetite,oily,oily thick,red,uneven,red,never forgets,quick,promptly and decisively,sound,pale,pale,pitta-kapha
average,slow,fast,cold,mild,irregular appetite,cool,straight soft,red,uneven,dark,average,peaceful,quickly but inconsistently,deep,redish,pale,pitta-kapha
difficult to lose,fast,fast,all,excessive,always hunger,oily,straight soft,red,uneven,bright,forgets quickly,quick,promptly and decisively,light,pale,pale,pitta-kapha
average,fast,slow,all,mild,moderate hunger,oily,dry brittle,red,uneven,red,average,peacefull,slowly but steadily,deep,dark,soft red,pitta-kapha
difficult to lose,slow,moderate,warm,excessive,moderate hunger,dry,oily thick,dark up red bottom,large,dark,average,peacefull,quickly but inconsistently,sound,redish,pale,pitta-kapha
average,slow,slow,cold,excessive,moderate hunger,dry,oily thick,dark up red bottom,uneven,red,forgets quickly,peacefull,slowly but steadily,deep,redish,pale,pitta-kapha
lean,slow,slow,warm,mild,irregular appetite,oily,oily thick,dark up red bottom,perfect,red,average,focused,quickly but inconsistently,deep,pale,soft red,pitta-kapha
difficult to lose,slow,fast,cold,excessive,moderate hunger,cool,oily thick,red,uneven,bright,average,quick,promptly and decisively,sound,dark,soft red,pitta-kapha
difficult to lose,moderate,moderate,all,mild,irregular appetite,oily,oily thick,red,uneven,red,forgets quickly,peacefull,slowly but steadily,deep,dark,soft red,pitta-kapha
average,slow,fast,all,excessive,always hunger,dry,oily thick,red,large,red,average,peacefull,quickly but inconsistently,sound,pale,pale,pitta-kapha
average,moderate,slow,all,excessive,always hunger,oily,dry brittle,red,perfect,bright,average,peacefull,slowly but steadily,light,pale,soft red,pitta-kapha
lean,fast,slow,all,excessive,always hunger,oily,oily thick,dark dry,large,red,never forgets,focused,promptly and decisively,light,pale,pale,pitta-kapha
difficult to lose,slow,moderate,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,large,red,never forgets,quick,quickly but inconsistently,deep,dark,soft red,pitta-kapha
average,moderate,moderate,cold,mild,moderate hunger,dry,oily thick,red,large,bright,average,focused,slowly but steadily,light,dark,pale,pitta-kapha
difficult to lose,slow,slow,all,excessive,moderate hunger,dry,dry brittle,dark dry,large,red,forgets quickly,focused,slowly but steadily,sound,redish,soft red,pitta-kapha
average,slow,slow,cold,excessive with strong odor,always hunger,cool,dry brittle,dark dry,large,bright,never forgets,peacefull,promptly and decisively,sound,redish,dull,pitta-kapha
difficult to lose,moderate,slow,all,excessive,irregular appetite,oily,straight soft,red,uneven,red,never forgets,quick,slowly but steadily,sound,dark,pale,pitta-kapha
difficult to lose,slow,slow,cold,mild,irregular appetite,dry,oily thick,dark up red bottom,perfect,red,never forgets,quick,quickly but inconsistently,sound,redish,soft red,pitta-kapha
average,moderate,slow,warm,excessive,moderate hunger,dry,oily thick,dark up red bottom,uneven,bright,average,peacefull,slowly but steadily,deep,redish,dull,pitta-kapha
lean,moderate,fast,warm,excessive with strong odor,always hunger,oily,straight soft,red,perfect,red,never forgets,focused,slowly but steadily,light,dark,pale,pitta-kapha
difficult to lose,moderate,moderate,warm,excessive,moderate hunger,cool,oily thick,dark dry,perfect,red,average,quick,promptly and decisively,deep,redish,pale,pitta-kapha
difficult to lose,moderate,slow,all,mild,irregular appetite,dry,dry brittle,red,uneven,bright,average,quick,promptly and decisively,deep,redish,soft red,pitta-kapha
lean,moderate,moderate,warm,excessive,always hunger,cool,oily thick,dark up red bottom,large,red,forgets quickly,peacefull,slowly but steadily,light,pale,pale,pitta-kapha
difficult to lose,fast,fast,all,excessive,always hunger,dry,straight soft,red,large,dark,average,focused,slowly but steadily,deep,pale,soft red,pitta-kapha
lean,slow,moderate,warm,excessive with strong odor,moderate hunger,dry,straight soft,dark dry,uneven,bright,never forgets,quick,promptly and decisively,sound,pale,soft red,pitta-kapha
lean,slow,slow,warm,mild,moderate hunger,oily,oily thick,dark up red bottom,large,bright,never forgets,quick,promptly and decisively,sound,redish,soft red,pitta-kapha
lean,moderate,moderate,cold,excessive,moderate hunger,dry,straight soft,red,perfect,dark,average,peacefull,promptly and decisively,deep,pale,pale,pitta-kapha
lean,slow,slow,warm,excessive,moderate hunger,cool,straight soft,red,large,dark,never forgets,quick,promptly and decisively,sound,redish,soft red,pitta-kapha
average,slow,slow,cold,mild,irregular appetite,cool,straight soft,dark up red bottom,large,dark,average,focused,slowly but steadily,deep,pale,dull,pitta-kapha
average,slow,fast,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,perfect,red,average,peacefull,slowly but steadily,sound,redish,dull,pitta-kapha
average,fast,moderate,cold,mild,moderate hunger,cool,straight soft,red,uneven,bright,average,peacefull,slowly but steadily,sound,dark,pale,pitta-kapha
difficult to lose,slow,fast,all,mild,moderate hunger,oily,dry brittle,dark up red bottom,uneven,red,forgets quickly,peacefull,slowly but steadily,sound,redish,dull,pitta-kapha
difficult to lose,moderate,fast,cold,excessive with strong odor,moderate hunger,dry,oily thick,dark up red bottom,perfect,bright,never forgets,quick,promptly and decisively,sound,redish,soft red,pitta-kapha
lean,moderate,slow,all,excessive,irregular appetite,oily,oily thick,dark up red bottom,perfect,dark,average,peacefull,promptly and decisively,deep,pale,dull,pitta-kapha
average,moderate,moderate,all,excessive,moderate hunger,cool,straight soft,red,uneven,red,never forgets,peacefull,slowly but steadily,deep,redish,dull,pitta-kapha
lean,slow,fast,cold,mild,moderate hunger,oily,oily thick,red,perfect,bright,average,focused,slowly but steadily,sound,redish,soft red,pitta-kapha
